"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:00458342","GO:0045834","positive regulation of lipid metabolic process","7/59","112/15217",2.41006253162006e-07,2.27681097465948e-05,1.14790973594931e-05,"PTGS2/TNF/IL1B/NR4A3/TNFAIP8L3/APOE/APOC1",7,"9"
"GO:19059524","GO:1905952","regulation of lipid localization","7/59","119/15217",3.64915237442475e-07,3.15165126737817e-05,1.58898178830214e-05,"TNF/SPP1/IL1B/EDN1/APOE/NFKBIA/APOC1",7,"9"
"GO:00321034","GO:0032103","positive regulation of response to external stimulus","9/59","256/15217",5.65793728966368e-07,4.31168103456429e-05,2.17383906392341e-05,"CCL4/CCL2/PTGS2/SERPINE1/TNF/IL1B/EDN1/C3AR1/NFKBIA",9,"9"
"GO:2001239","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","5/59","45/15217",7.99642066786221e-07,5.59965566227865e-05,2.82320285883841e-05,"TNF/IL1B/MCL1/IL1A/INHBA",5,"9"
"GO:00508701","GO:0050870","positive regulation of T cell activation","8/59","200/15217",9.66700101557371e-07,6.11764437979288e-05,3.08435949351925e-05,"CCL2/CD83/HLA-DPA1/HLA-DRA/HLA-DRB1/IL1B/HLA-DPB1/HLA-DQB1",8,"9"
"GO:19016522","GO:1901652","response to peptide","11/59","450/15217",1.04116652385385e-06,6.13105105296666e-05,3.0911187945039e-05,"CCL2/EGR1/EGR2/PTGS2/PDK4/NR4A2/IL1B/BTG2/EDN1/NR4A3/NFKBIA",11,"9"
"GO:00434103","GO:0043410","positive regulation of MAPK cascade","11/59","459/15217",1.26374462868416e-06,6.96672836791628e-05,3.51244587726101e-05,"CCL4/CCL3L3/CCL2/CCL8/CXCR4/GADD45B/TNF/IL1B/EDN1/IRAK2/TNFAIP8L3",11,"9"
"GO:0032368","GO:0032368","regulation of lipid transport","6/59","91/15217",1.3521038549737e-06,7.22500448159234e-05,3.64266207384107e-05,"SPP1/IL1B/EDN1/APOE/NFKBIA/APOC1",6,"9"
"GO:00104693","GO:0010469","regulation of receptor activity","11/59","469/15217",1.5593495725274e-06,8.08054948483696e-05,4.07400593580315e-05,"CCL4/CCL3L3/CCL2/CCL8/SERPINE1/TNF/SPP1/IL1B/IL1A/EDN1/INHBA",11,"9"
"GO:00316223","GO:0031622","positive regulation of fever generation","3/59","7/15217",1.91654954075912e-06,8.8875480324288e-05,4.48087391913065e-05,"PTGS2/TNF/IL1B",3,"9"
"GO:00509203","GO:0050920","regulation of chemotaxis","7/59","163/15217",3.03896687877064e-06,0.000120050387983201,6.05263285815891e-05,"CCL4/CCL2/SERPINE1/CXCR4/EDN1/PADI2/C3AR1",7,"9"
"GO:00458074","GO:0045807","positive regulation of endocytosis","6/59","112/15217",4.55767562180757e-06,0.000166932397721551,8.41630362479206e-05,"CCL2/SERPINE1/TNF/IL1B/APOE/CD14",6,"9"
"GO:00450803","GO:0045080","positive regulation of chemokine biosynthetic process","3/59","9/15217",4.57437292096877e-06,0.000166932397721551,8.41630362479206e-05,"EGR1/TNF/IL1B",3,"9"
"GO:00421105","GO:0042110","T cell activation","10/59","429/15217",5.21433315708725e-06,0.000187643572361292,9.46050796483227e-05,"CCL2/EGR1/MAFB/CD83/HLA-DPA1/HLA-DRA/HLA-DRB1/IL1B/HLA-DPB1/HLA-DQB1",10,"9"
"GO:00712162","GO:0071216","cellular response to biotic stimulus","7/59","180/15217",5.85590934519719e-06,0.000206367263311945,0.000104045084714345,"CCL2/SERPINE1/TNF/IL1B/IRAK2/CD14/NFKBIA",7,"9"
"GO:00400173","GO:0040017","positive regulation of locomotion","10/59","435/15217",5.89393187382629e-06,0.000206367263311945,0.000104045084714345,"CCL4/CCL2/PTGS2/CCL8/SERPINE1/TNF/IL1B/IL1A/EDN1/C3AR1",10,"9"
"GO:00486612","GO:0048661","positive regulation of smooth muscle cell proliferation","5/59","68/15217",6.37386740932603e-06,0.000211726800737997,0.000106747226113004,"PTGS2/TNF/EDN1/NR4A3/ID2",5,"9"
"GO:0010876","GO:0010876","lipid localization","9/59","346/15217",6.75514640563129e-06,0.000218782304212384,0.000110304430123532,"TNF/SPP1/IL1B/EDN1/TNFAIP8L3/INHBA/APOE/NFKBIA/APOC1",9,"9"
"GO:19010993","GO:1901099","negative regulation of signal transduction in absence of ligand","4/59","33/15217",7.66811103607066e-06,0.000239374405957338,0.000120686440022368,"TNF/IL1B/MCL1/IL1A",4,"9"
"GO:19059541","GO:1905954","positive regulation of lipid localization","5/59","73/15217",9.04945834628521e-06,0.000272641239246802,0.000137458724696939,"SPP1/IL1B/EDN1/APOE/NFKBIA",5,"9"
"GO:00485453","GO:0048545","response to steroid hormone","9/59","373/15217",1.2347527981936e-05,0.000351565329683475,0.000177250228173309,"CCL2/PTGS2/CDKN1A/NR4A2/TNF/SPP1/EDN1/NR4A3/PADI2",9,"9"
"GO:00025052","GO:0002505","antigen processing and presentation of polysaccharide antigen via MHC class II","2/59","2/15217",1.47791843023537e-05,0.000386796631589885,0.000195012947572791,"HLA-DRA/HLA-DRB1",2,"9"
"GO:00352832","GO:0035283","central nervous system segmentation","2/59","2/15217",1.47791843023537e-05,0.000386796631589885,0.000195012947572791,"EGR2/MAFB",2,"9"
"GO:0009266","GO:0009266","response to temperature stimulus","7/59","210/15217",1.60153752941779e-05,0.000406395411611444,0.000204894150118752,"CCL2/PTGS2/IER5/CDKN1A/IL1A/CD14/NFKBIA",7,"9"
"GO:19040183","GO:1904018","positive regulation of vasculature development","6/59","140/15217",1.64381601873366e-05,0.000406395411611444,0.000204894150118752,"EGR1/PTGS2/SERPINE1/IL1B/IL1A/C3AR1",6,"9"
"GO:00454291","GO:0045429","positive regulation of nitric oxide biosynthetic process","4/59","40/15217",1.67828286539655e-05,0.000406395411611444,0.000204894150118752,"PTGS2/TNF/IL1B/EDN1",4,"9"
"GO:00513531","GO:0051353","positive regulation of oxidoreductase activity","4/59","40/15217",1.67828286539655e-05,0.000406395411611444,0.000204894150118752,"TNF/IL1B/EDN1/APOE",4,"9"
"GO:00510443","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","3/59","14/15217",1.95504676806528e-05,0.000456353709554698,0.000230081843448935,"TNF/IL1B/APOE",3,"9"
"GO:00423451","GO:0042345","regulation of NF-kappaB import into nucleus","4/59","46/15217",2.94522883602755e-05,0.000642623378883557,0.000323994236403134,"PTGS2/TNF/IL1B/NFKBIA",4,"9"
"GO:00198862","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/59","95/15217",3.27106328369161e-05,0.000700440080003716,0.000353143935194545,"HLA-DPA1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1",5,"9"
"GO:00310994","GO:0031099","regeneration","6/59","163/15217",3.88240368559158e-05,0.000792071492076203,0.000399342144535362,"CCL2/CDKN1A/SPP1/NR4A3/APOE/NFKBIA",6,"9"
"GO:0032844","GO:0032844","regulation of homeostatic process","9/59","435/15217",4.14998004780547e-05,0.000820809030829311,0.00041383087499611,"MAFB/PTGS2/PDK4/TNF/SPP1/IL1B/EDN1/NR4A3/INHBA",9,"9"
"GO:00461363","GO:0046136","positive regulation of vitamin metabolic process","2/59","3/15217",4.4226818302364e-05,0.000836435665849819,0.000421709423843517,"TNF/IL1B",2,"9"
"GO:0050729","GO:0050729","positive regulation of inflammatory response","5/59","104/15217",5.05559600874586e-05,0.000926116285114083,0.000466924093451655,"PTGS2/SERPINE1/TNF/IL1B/NFKBIA",5,"9"
"GO:19012142","GO:1901214","regulation of neuron death","7/59","259/15217",6.11814802414831e-05,0.00107837561432437,0.000543689344645045,"CCL2/EGR1/NR4A2/BTG2/MCL1/NR4A3/APOE",7,"9"
"GO:00713761","GO:0071376","cellular response to corticotropin-releasing hormone stimulus","2/59","4/15217",8.82327787866046e-05,0.00142881956147558,0.000720374200488002,"NR4A2/NR4A3",2,"9"
"GO:00485143","GO:0048514","blood vessel morphogenesis","9/59","488/15217",0.000100548150425874,0.00158811985598311,0.000800689325915636,"CCL2/EGR3/PTGS2/SERPINE1/IL1B/IL1A/EDN1/APOE/C3AR1",9,"9"
"GO:00199152","GO:0019915","lipid storage","4/59","63/15217",0.000102359913855952,0.00158811985598311,0.000800689325915636,"TNF/IL1B/APOE/NFKBIA",4,"9"
"GO:00356902","GO:0035690","cellular response to drug","4/59","63/15217",0.000102359913855952,0.00158811985598311,0.000800689325915636,"CCL4/CCL2/IL1B/EDN1",4,"9"
"GO:00069793","GO:0006979","response to oxidative stress","8/59","380/15217",0.000102360484735307,0.00158811985598311,0.000800689325915636,"PTGS2/NR4A2/TNF/MCL1/EDN1/NR4A3/KDM6B/APOE",8,"9"
"GO:00096363","GO:0009636","response to toxic substance","6/59","197/15217",0.00011110156464359,0.00170333818929906,0.00085877945638552,"CCL4/PTGS2/CDKN1A/TNF/KDM6B/APOE",6,"9"
"GO:00096121","GO:0009612","response to mechanical stimulus","6/59","200/15217",0.000120703107205158,0.00179418682516138,0.00090458301002469,"CCL2/PTGS2/IL1B/BTG2/EDN1/NFKBIA",6,"9"
"GO:00331983","GO:0033198","response to ATP","3/59","27/15217",0.000151568708454201,0.00206691854528861,0.0010420873528624,"CCL2/PTGS2/IL1B",3,"9"
"GO:1903035","GO:1903035","negative regulation of response to wounding","4/59","74/15217",0.00019155192599622,0.0025193453820112,0.00127018936767999,"SERPINE1/SPP1/EDN1/APOE",4,"9"
"GO:0019217","GO:0019217","regulation of fatty acid metabolic process","4/59","75/15217",0.00020176120941826,0.00261476659772406,0.00131829829887894,"PTGS2/PDK4/NR4A3/APOC1",4,"9"
"GO:00705421","GO:0070542","response to fatty acid","4/59","77/15217",0.000223348675303601,0.0028092059112215,0.00141632961702488,"CCL2/PTGS2/PDK4/EDN1",4,"9"
"GO:0051051","GO:0051051","negative regulation of transport","8/59","446/15217",0.000305632575757876,0.00359350006038077,0.00181175062460442,"PTGS2/TNF/SRGN/IL1B/EDN1/INHBA/NFKBIA/APOC1",8,"9"
"GO:00601371","GO:0060137","maternal process involved in parturition","2/59","7/15217",0.000306508496080336,0.00359350006038077,0.00181175062460442,"CCL2/EDN1",2,"9"
"GO:00457873","GO:0045787","positive regulation of cell cycle","7/59","340/15217",0.000328720783808946,0.00381935224595954,0.0019256195077031,"CDKN1A/IL1B/BTG2/IL1A/EDN1/NR4A3/ID2",7,"9"
"GO:00507072","GO:0050707","regulation of cytokine secretion","5/59","160/15217",0.000382321493171818,0.00434471486319378,0.00219049387362062,"TNF/SRGN/IL1B/IL1A/CD14",5,"9"
"GO:00508902","GO:0050890","cognition","6/59","248/15217",0.000385876746074117,0.00434698543077407,0.00219163863559716,"EGR2/PTGS2/SGK1/HLA-DRA/BTG2/APOE",6,"9"
"GO:00321024","GO:0032102","negative regulation of response to external stimulus","6/59","249/15217",0.00039422681129408,0.00438386982001271,0.00221023479925888,"CCL2/SERPINE1/SPP1/EDN1/PADI2/APOE",6,"9"
"GO:00704823","GO:0070482","response to oxygen levels","7/59","352/15217",0.000405099165308172,0.00441942918796333,0.00222816292114912,"CCL2/EGR1/PTGS2/CXCR4/CDKN1A/NR4A2/EDN1",7,"9"
"GO:0034382","GO:0034382","chylomicron remnant clearance","2/59","8/15217",0.000407658655315799,0.00441942918796333,0.00222816292114912,"APOE/APOC1",2,"9"
"GO:00352343","GO:0035234","ectopic germ cell programmed cell death","2/59","8/15217",0.000407658655315799,0.00441942918796333,0.00222816292114912,"IL1B/IL1A",2,"9"
"GO:0006875","GO:0006875","cellular metal ion homeostasis","8/59","467/15217",0.000415792392753816,0.00447596694159376,0.00225666780739721,"CCL2/CCL8/CXCR4/EDN1/TPT1/FTL/APOE/C3AR1",8,"9"
"GO:1904589","GO:1904589","regulation of protein import","5/59","163/15217",0.000416328843274448,0.00447596694159376,0.00225666780739721,"PTGS2/CDKN1A/TNF/IL1B/NFKBIA",5,"9"
"GO:1905953","GO:1905953","negative regulation of lipid localization","3/59","38/15217",0.000424097169936871,0.00454064366655551,0.00228927615437867,"TNF/NFKBIA/APOC1",3,"9"
"GO:1903793","GO:1903793","positive regulation of anion transport","3/59","40/15217",0.000493964901707994,0.00507882166795798,0.00256061170851972,"IL1B/EDN1/APOE",3,"9"
"GO:00019361","GO:0001936","regulation of endothelial cell proliferation","4/59","95/15217",0.000498879766447245,0.00510908092831941,0.00257586765201178,"CCL2/EGR3/TNF/APOE",4,"9"
"GO:00510901","GO:0051090","regulation of DNA binding transcription factor activity","7/59","371/15217",0.000554579390311439,0.00546355589466517,0.00275458484441263,"SGK1/TNF/IL1B/EDN1/IRAK2/ID2/NFKBIA",7,"9"
"GO:00075681","GO:0007568","aging","6/59","266/15217",0.000559133868375174,0.00548704792254092,0.00276642892273793,"CCL2/PTGS2/SERPINE1/CDKN1A/EDN1/ID2",6,"9"
"GO:0055074","GO:0055074","calcium ion homeostasis","7/59","377/15217",0.000609976615790664,0.00589415279112093,0.00297168076287598,"CCL2/CCL8/CXCR4/EDN1/TPT1/APOE/C3AR1",7,"9"
"GO:00026832","GO:0002683","negative regulation of immune system process","7/59","383/15217",0.000669699880236552,0.00631970206259708,0.00318623179820146,"CCL2/MAFB/TNF/PADI2/INHBA/CD14/NFKBIA",7,"9"
"GO:0042493","GO:0042493","response to drug","7/59","383/15217",0.000669699880236552,0.00631970206259708,0.00318623179820146,"CCL4/CCL2/PTGS2/CDKN1A/IL1B/EDN1/INHBA",7,"9"
"GO:0015758","GO:0015758","glucose transport","4/59","103/15217",0.00067707498753722,0.00635616410401789,0.00320461502491873,"TNF/IL1B/EDN1/NR4A3",4,"9"
"GO:00069595","GO:0006959","humoral immune response","5/59","183/15217",0.00070490998492102,0.00654631459114825,0.0033004840267383,"CCL2/CD83/TNF/HLA-DQB1/C3AR1",5,"9"
"GO:00712292","GO:0071229","cellular response to acid chemical","5/59","183/15217",0.00070490998492102,0.00654631459114825,0.0033004840267383,"CCL2/EGR1/PDK4/TNF/EDN1",5,"9"
"GO:00075662","GO:0007566","embryo implantation","3/59","46/15217",0.000746527702043495,0.0067631233426388,0.00340979344216407,"PTGS2/SPP1/IL1B",3,"9"
"GO:0030195","GO:0030195","negative regulation of blood coagulation","3/59","46/15217",0.000746527702043495,0.0067631233426388,0.00340979344216407,"SERPINE1/EDN1/APOE",3,"9"
"GO:0032306","GO:0032306","regulation of prostaglandin secretion","2/59","11/15217",0.000794784330403124,0.00707658487998108,0.00356783271488615,"IL1B/EDN1",2,"9"
"GO:00454442","GO:0045444","fat cell differentiation","5/59","190/15217",0.000834805995807397,0.00740499883074568,0.00373341061120697,"EGR2/PTGS2/NR4A2/TNF/NR4A3",5,"9"
"GO:00458401","GO:0045840","positive regulation of mitotic nuclear division","3/59","48/15217",0.000845926897575635,0.00745509044768187,0.00375866552055626,"IL1B/IL1A/EDN1",3,"9"
"GO:00485112","GO:0048511","rhythmic process","6/59","290/15217",0.000878197859882174,0.00763560622468024,0.00384967694847678,"EGR1/EGR3/EGR2/SERPINE1/ID2/INHBA",6,"9"
"GO:00508041","GO:0050804","modulation of chemical synaptic transmission","6/59","290/15217",0.000878197859882174,0.00763560622468024,0.00384967694847678,"CCL2/EGR2/PTGS2/IL1B/EDN1/APOE",6,"9"
"GO:00003022","GO:0000302","response to reactive oxygen species","5/59","194/15217",0.000916626239790405,0.00769518878637598,0.00387971694890922,"TNF/EDN1/NR4A3/KDM6B/APOE",5,"9"
"GO:00713981","GO:0071398","cellular response to fatty acid","3/59","50/15217",0.000953359938412463,0.00769518878637598,0.00387971694890922,"CCL2/PDK4/EDN1",3,"9"
"GO:00706631","GO:0070663","regulation of leukocyte proliferation","5/59","200/15217",0.00105038423444077,0.00842583762054501,0.00424809136366628,"CCL8/CDKN1A/HLA-DPA1/IL1B/HLA-DPB1",5,"9"
"GO:00011012","GO:0001101","response to acid chemical","6/59","303/15217",0.00110156373208842,0.00872829244599727,0.00440058133436902,"CCL2/EGR1/PTGS2/PDK4/TNF/EDN1",6,"9"
"GO:0044706","GO:0044706","multi-multicellular organism process","5/59","204/15217",0.00114728352604694,0.00900791398784125,0.00454155934872169,"CCL2/PTGS2/SPP1/IL1B/EDN1",5,"9"
"GO:00099911","GO:0009991","response to extracellular stimulus","7/59","422/15217",0.00118055642662078,0.00921331837763388,0.00464511897728723,"CCL2/PTGS2/PDK4/CDKN1A/NR4A2/SPP1/APOE",7,"9"
"GO:00313491","GO:0031349","positive regulation of defense response","7/59","422/15217",0.00118055642662078,0.00921331837763388,0.00464511897728723,"PTGS2/SERPINE1/TNF/IL1B/IRAK2/CD14/NFKBIA",7,"9"
"GO:00103323","GO:0010332","response to gamma radiation","3/59","54/15217",0.00119330620471509,0.00925705501921196,0.00466716987094681,"CCL2/EGR1/CDKN1A",3,"9"
"GO:0007585","GO:0007585","respiratory gaseous exchange","3/59","56/15217",0.00132629180146412,0.00993185565778476,0.0050073870569424,"MAFB/NR4A2/EDN1",3,"9"
"GO:0014823","GO:0014823","response to activity","3/59","56/15217",0.00132629180146412,0.00993185565778476,0.0050073870569424,"CCL2/EDN1/KDM6B",3,"9"
"GO:00713464","GO:0071346","cellular response to interferon-gamma","11/27","130/15217",1.33538742386294e-16,7.40613231758193e-14,4.7173323999206e-14,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-B/CD44/B2M/CCL3L3/HLA-A",11,"10"
"GO:00603331","GO:0060333","interferon-gamma-mediated signaling pathway","10/27","86/15217",1.51145557501672e-16,7.40613231758193e-14,4.7173323999206e-14,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-B/CD44/B2M/HLA-A",10,"10"
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","11/27","169/15217",2.55301653702512e-15,6.25489051571154e-13,3.98404949067341e-13,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/CD74/HLA-DQA1/HLA-DQB1/HLA-DMA/HLA-B/B2M/HLA-A",11,"10"
"GO:00312952","GO:0031295","T cell costimulation","6/27","68/15217",1.74746237206375e-09,1.54513498995717e-07,9.84172985010315e-08,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/HLA-DQA1/HLA-DQB1",6,"10"
"GO:19030393","GO:1903039","positive regulation of leukocyte cell-cell adhesion","8/27","208/15217",1.89200202851899e-09,1.54513498995717e-07,9.84172985010315e-08,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/CD74/HLA-DQA1/HLA-DQB1/CD44",8,"10"
"GO:0002399","GO:0002399","MHC class II protein complex assembly","3/27","4/15217",1.99031349733913e-08,1.21906701712022e-06,7.76484147317175e-07,"HLA-DRA/HLA-DRB1/HLA-DMA",3,"10"
"GO:00027681","GO:0002768","immune response-regulating cell surface receptor signaling pathway","8/27","348/15217",1.04869976155952e-07,4.46837289707967e-06,2.84612795700134e-06,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/HLA-DQA1/HLA-DQB1/FCER1A/ACTB",8,"10"
"GO:00421106","GO:0042110","T cell activation","8/27","429/15217",5.18325891277191e-07,1.81414061947017e-05,1.15551599070442e-05,"HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/CD74/HLA-DQA1/HLA-DQB1/B2M",8,"10"
"GO:0065006","GO:0065006","protein-carbohydrate complex assembly","2/27","2/15217",3.03184902988087e-06,7.81897907706118e-05,4.98029494382093e-05,"HLA-DRA/HLA-DRB1",2,"10"
"GO:1902230","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","3/27","27/15217",1.41633579588191e-05,0.000330478352372445,0.000210498026806509,"CD74/CD44/TPT1",3,"10"
"GO:0043518","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","2/27","12/15217",0.00019792173021187,0.00404090199182568,0.0025738505705184,"CD74/CD44",2,"10"
"GO:00024493","GO:0002449","lymphocyte mediated immunity","4/27","209/15217",0.000473588889434918,0.00807832887749622,0.00514548767385098,"CD74/HLA-DQB1/FCER1A/B2M",4,"10"
"GO:00018196","GO:0001819","positive regulation of cytokine production","5/27","382/15217",0.00049702957790806,0.00825574553135422,0.00525849312577127,"HLA-DPA1/HLA-DPB1/CD74/FCER1A/B2M",5,"10"
"GO:00713474","GO:0071347","cellular response to interleukin-1","9/70","80/15217",9.69763814724805e-11,2.8346196304406e-07,1.5046651188467e-07,"CCL2/CCL3L3/CCL4/EGR1/IRAK2/EDN1/CCL8/IL1A/CEBPB",9,"11"
"GO:00975301","GO:0097530","granulocyte migration","9/70","103/15217",9.65602622740407e-10,9.05658816133101e-07,4.80739361139489e-07,"CCL2/IL1B/CCL3L3/CCL4/EDN1/PTGER4/C3AR1/CCL8/IL1A",9,"11"
"GO:00018197","GO:0001819","positive regulation of cytokine production","14/70","382/15217",1.67990542344172e-09,9.05658816133101e-07,4.80739361139489e-07,"CCL2/IL1B/EGR1/CD83/C3/CD14/PTGS2/NR4A3/TNF/PTGER4/C3AR1/DDX3X/IL1A/CEBPB",14,"11"
"GO:00321035","GO:0032103","positive regulation of response to external stimulus","12/70","256/15217",1.78016926975907e-09,9.05658816133101e-07,4.80739361139489e-07,"CCL2/IL1B/CCL4/C3/PTGS2/OSM/EDN1/PDGFB/TNF/PTGER4/C3AR1/TMSB4X",12,"11"
"GO:00975291","GO:0097529","myeloid leukocyte migration","10/70","153/15217",1.85903280766288e-09,9.05658816133101e-07,4.80739361139489e-07,"CCL2/IL1B/CCL3L3/CCL4/EDN1/PDGFB/PTGER4/C3AR1/CCL8/IL1A",10,"11"
"GO:00105733","GO:0010573","vascular endothelial growth factor production","6/70","34/15217",9.25145817550018e-09,2.7042012246987e-06,1.43543677375655e-06,"CCL2/IL1B/C3/PTGS2/C3AR1/IL1A",6,"11"
"GO:00434104","GO:0043410","positive regulation of MAPK cascade","14/70","459/15217",1.74673877399159e-08,4.25476453031452e-06,2.25850259023123e-06,"CCL2/IL1B/CCL3L3/CCL4/DUSP6/GADD45B/OSM/SPRY2/IRAK2/EDN1/PDGFB/TNF/TNFAIP8L3/CCL8",14,"11"
"GO:00316633","GO:0031663","lipopolysaccharide-mediated signaling pathway","6/70","49/15217",9.11222028116992e-08,1.66468874261623e-05,8.83645572002925e-06,"CCL2/IL1B/TRIB1/CD14/IRAK2/TNF",6,"11"
"GO:00016604","GO:0001660","fever generation","4/70","11/15217",1.32230979196952e-07,1.9034525700543e-05,1.01038554054416e-05,"IL1B/PTGS2/TNF/IL1A",4,"11"
"GO:00026751","GO:0002675","positive regulation of acute inflammatory response","5/70","27/15217",1.32948807129892e-07,1.9034525700543e-05,1.01038554054416e-05,"IL1B/C3/PTGS2/OSM/TNF",5,"11"
"GO:00025265","GO:0002526","acute inflammatory response","8/70","136/15217",1.96067565574387e-07,2.50948389580004e-05,1.33207744833508e-05,"IL1B/C3/PTGS2/OSM/TNF/C3AR1/IL1A/CEBPB",8,"11"
"GO:00303351","GO:0030335","positive regulation of cell migration","12/70","392/15217",1.99532553477174e-07,2.50948389580004e-05,1.33207744833508e-05,"CCL2/IL1B/CCL4/PTGS2/SPRY2/EDN1/PDGFB/TNF/C3AR1/CCL8/TMSB4X/IL1A",12,"11"
"GO:20012342","GO:2001234","negative regulation of apoptotic signaling pathway","9/70","196/15217",2.68080946017521e-07,3.13440242083686e-05,1.66379500812558e-05,"IL1B/PTGS2/NR4A2/MCL1/TNF/PLAUR/DDX3X/IL1A/GPX1",9,"11"
"GO:0019216","GO:0019216","regulation of lipid metabolic process","11/70","330/15217",2.91977087415666e-07,3.1609223204296e-05,1.6778722294374e-05,"IL1B/EGR1/C3/PTGS2/ID2/PDGFB/NR4A3/PDK4/TNF/TNFAIP8L3/APOE",11,"11"
"GO:00486613","GO:0048661","positive regulation of smooth muscle cell proliferation","6/70","68/15217",6.65956163970681e-07,5.72526431554794e-05,3.03906930555041e-05,"PTGS2/ID2/EDN1/PDGFB/NR4A3/TNF",6,"11"
"GO:0048659","GO:0048659","smooth muscle cell proliferation","7/70","114/15217",8.93483623618501e-07,6.68221478261593e-05,3.54703516199142e-05,"TRIB1/PTGS2/ID2/EDN1/PDGFB/NR4A3/TNF",7,"11"
"GO:00011013","GO:0001101","response to acid chemical","10/70","303/15217",1.16563187564176e-06,7.77315094878762e-05,4.12612294452814e-05,"CCL2/EGR1/PTGS2/EDN1/PDGFB/PDK4/TNF/PTGER4/CFL1/CEBPB",10,"11"
"GO:00435232","GO:0043523","regulation of neuron apoptotic process","8/70","182/15217",1.80042810315561e-06,0.000103189242069095,5.47746341393471e-05,"CCL2/BTG2/NR4A3/NR4A2/MCL1/GPX1/APOE/CEBPB",8,"11"
"GO:00712293","GO:0071229","cellular response to acid chemical","8/70","183/15217",1.87589859228627e-06,0.000105447145870246,5.59731685228738e-05,"CCL2/EGR1/EDN1/PDGFB/PDK4/TNF/PTGER4/CEBPB",8,"11"
"GO:00321025","GO:0032102","negative regulation of response to external stimulus","9/70","249/15217",1.98418533239823e-06,0.000107650226243807,5.71426016829759e-05,"CCL2/SPP1/TRIB1/EDN1/PDGFB/PTGER4/PLAUR/GPX1/APOE",9,"11"
"GO:20003792","GO:2000379","positive regulation of reactive oxygen species metabolic process","6/70","83/15217",2.17555245677586e-06,0.000113556068413497,6.02775248362334e-05,"IL1B/PTGS2/EDN1/PDGFB/TNF/CDKN1A",6,"11"
"GO:00316224","GO:0031622","positive regulation of fever generation","3/70","7/15217",3.22015562890814e-06,0.000156875248388308,8.32720946843966e-05,"IL1B/PTGS2/TNF",3,"11"
"GO:00457874","GO:0045787","positive regulation of cell cycle","10/70","340/15217",3.2798638893425e-06,0.000157164625386035,8.34257009989791e-05,"IL1B/BTG2/CITED2/ID2/EDN1/PDGFB/NR4A3/CDKN1A/DDX3X/IL1A",10,"11"
"GO:19040184","GO:1904018","positive regulation of vasculature development","7/70","140/15217",3.54856003253228e-06,0.000167297435082127,8.88043716120982e-05,"IL1B/EGR1/C3/PTGS2/PDGFB/C3AR1/IL1A",7,"11"
"GO:19016523","GO:1901652","response to peptide","11/70","450/15217",6.00745202726226e-06,0.000254489598198371,0.000135087479606172,"CCL2/IL1B/EGR2/EGR1/BTG2/PTGS2/EDN1/NR4A3/NR4A2/PDK4/KLF10",11,"11"
"GO:00094083","GO:0009408","response to heat","7/70","156/15217",7.25592283327427e-06,0.000298190649787027,0.00015828475351066,"CCL2/CD14/PTGS2/OSM/CDKN1A/IL1A/ATXN3",7,"11"
"GO:00725932","GO:0072593","reactive oxygen species metabolic process","8/70","220/15217",7.34509982369686e-06,0.000298190649787027,0.00015828475351066,"IL1B/PTGS2/EDN1/PDGFB/PDK4/TNF/CDKN1A/GPX1",8,"11"
"GO:00450804","GO:0045080","positive regulation of chemokine biosynthetic process","3/70","9/15217",7.67744469944982e-06,0.000303259065628268,0.000160975156287184,"IL1B/EGR1/TNF",3,"11"
"GO:00507073","GO:0050707","regulation of cytokine secretion","7/70","160/15217",8.56759152879691e-06,0.000325234675826927,0.000172640190204329,"IL1B/SRGN/CD14/TNF/PTGER4/TMSB4X/IL1A",7,"11"
"GO:00104694","GO:0010469","regulation of receptor activity","11/70","469/15217",8.88403202012855e-06,0.000330209473614739,0.000175280898899158,"CCL2/IL1B/CCL3L3/CCL4/SPP1/OSM/EDN1/PDGFB/TNF/CCL8/IL1A",11,"11"
"GO:00310995","GO:0031099","regeneration","7/70","163/15217",9.67569021080554e-06,0.000353525531077307,0.000187657465404307,"CCL2/SPP1/NR4A3/CDKN1A/GPX1/APOE/CEBPB",7,"11"
