5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
UBXN7__chr3	UBXN7__chr3
UBXN8__chr8	UBXN8__chr8
UCA1__chr19	UCA1__chr19
UCHL1-AS1__chr4	UCHL1-AS1__chr4
UCHL1__chr4	UCHL1__chr4
UCHL3__chr13	UCHL3__chr13
UCHL5__chr1	UCHL5__chr1
UCK1__chr9	UCK1__chr9
UCK2__chr1	UCK2__chr1
UCKL1-AS1__chr20	UCKL1-AS1__chr20
UCKL1__chr20	UCKL1__chr20
UCMA__chr10	UCMA__chr10
UCN2__chr3	UCN2__chr3
UCN3__chr10	UCN3__chr10
UCN__chr2	UCN__chr2
UCP1__chr4	UCP1__chr4
UCP2__chr11	UCP2__chr11
UCP3__chr11	UCP3__chr11
UEVLD__chr11	UEVLD__chr11
UFC1__chr1	UFC1__chr1
UFD1L__chr22	UFD1L__chr22
UFL1-AS1__chr6	UFL1-AS1__chr6
UFL1__chr6	UFL1__chr6
UFM1__chr13	UFM1__chr13
UFSP1__chr7	UFSP1__chr7
UFSP2__chr4	UFSP2__chr4
UG0898H09__chr8	UG0898H09__chr8
UGCG__chr9	UGCG__chr9
UGDH-AS1__chr4	UGDH-AS1__chr4
UGDH__chr4	UGDH__chr4
UGGT1__chr2	UGGT1__chr2
UGGT2__chr13	UGGT2__chr13
UGP2__chr2	UGP2__chr2
UGT1A10__chr2	UGT1A10__chr2
UGT1A1__chr2	UGT1A1__chr2
UGT1A3__chr2	UGT1A3__chr2
UGT1A4__chr2	UGT1A4__chr2
UGT1A5__chr2	UGT1A5__chr2
UGT1A6__chr2	UGT1A6__chr2
UGT1A7__chr2	UGT1A7__chr2
UGT1A8__chr2	UGT1A8__chr2
UGT1A9__chr2	UGT1A9__chr2
UGT2A1__chr4	UGT2A1__chr4
UGT2A2__chr4	UGT2A2__chr4
UGT2A3__chr4	UGT2A3__chr4
UGT2B10__chr4	UGT2B10__chr4
UGT2B11__chr4	UGT2B11__chr4
UGT2B15__chr4	UGT2B15__chr4
UGT2B17__chr4	UGT2B17__chr4
UGT2B28__chr4	UGT2B28__chr4
UGT2B4__chr4	UGT2B4__chr4
UGT2B7__chr4	UGT2B7__chr4
UGT3A1__chr5	UGT3A1__chr5
UGT3A2__chr5	UGT3A2__chr5
UGT8__chr4	UGT8__chr4
UHMK1__chr1	UHMK1__chr1
UHRF1BP1L__chr12	UHRF1BP1L__chr12
UHRF1BP1__chr6	UHRF1BP1__chr6
UHRF1__chr19	UHRF1__chr19
UHRF2__chr9	UHRF2__chr9
UIMC1__chr5	UIMC1__chr5
ULBP1__chr6	ULBP1__chr6
ULBP2__chr6	ULBP2__chr6
ULBP3__chr6	ULBP3__chr6
ULK1__chr12	ULK1__chr12
ULK2__chr17	ULK2__chr17
ULK3__chr15	ULK3__chr15
ULK4__chr3	ULK4__chr3
UMAD1__chr7	UMAD1__chr7
UMODL1-AS1__chr21	UMODL1-AS1__chr21
UMODL1__chr21	UMODL1__chr21
UMOD__chr16	UMOD__chr16
UMPS__chr3	UMPS__chr3
UNC119B__chr12	UNC119B__chr12
UNC119__chr17	UNC119__chr17
UNC13A__chr19	UNC13A__chr19
UNC13B__chr9	UNC13B__chr9
UNC13C__chr15	UNC13C__chr15
UNC13D__chr17	UNC13D__chr17
UNC45A__chr15	UNC45A__chr15
UNC45B__chr17	UNC45B__chr17
UNC50__chr2	UNC50__chr2
UNC5A__chr5	UNC5A__chr5
UNC5B-AS1__chr10	UNC5B-AS1__chr10
UNC5B__chr10	UNC5B__chr10
UNC5CL__chr6	UNC5CL__chr6
UNC5C__chr4	UNC5C__chr4
UNC5D__chr8	UNC5D__chr8
UNC79__chr14	UNC79__chr14
UNC80__chr2	UNC80__chr2
UNC93A__chr6	UNC93A__chr6
UNC93B1__chr11	UNC93B1__chr11
UNCX__chr7	UNCX__chr7
UNG__chr12	UNG__chr12
UNKL__chr16	UNKL__chr16
UNK__chr17	UNK__chr17
UNQ6494__chr9	UNQ6494__chr9
UPB1__chr22	UPB1__chr22
UPF1__chr19	UPF1__chr19
UPF2__chr10	UPF2__chr10
UPF3A__chr13	UPF3A__chr13
UPF3B__chrX	UPF3B__chrX
UPK1A-AS1__chr19	UPK1A-AS1__chr19
UPK1A__chr19	UPK1A__chr19
UPK1B__chr3	UPK1B__chr3
UPK2__chr11	UPK2__chr11
UPK3A__chr22	UPK3A__chr22
UPK3BL__chr7	UPK3BL__chr7
UPK3B__chr7	UPK3B__chr7
UPP1__chr7	UPP1__chr7
UPP2-IT1__chr2	UPP2-IT1__chr2
UPP2__chr2	UPP2__chr2
UPRT__chrX	UPRT__chrX
UQCC1__chr20	UQCC1__chr20
UQCC2__chr6	UQCC2__chr6
UQCC3__chr11	UQCC3__chr11
UQCR10__chr22	UQCR10__chr22
UQCR11__chr19	UQCR11__chr19
UQCRB__chr8	UQCRB__chr8
UQCRC1__chr3	UQCRC1__chr3
UQCRC2__chr16	UQCRC2__chr16
UQCRFS1__chr19	UQCRFS1__chr19
UQCRHL__chr1	UQCRHL__chr1
UQCRH__chr1	UQCRH__chr1
UQCRQ__chr5	UQCRQ__chr5
URAD__chr13	URAD__chr13
URB1-AS1__chr21	URB1-AS1__chr21
URB1__chr21	URB1__chr21
URB2__chr1	URB2__chr1
URGCP-MRPS24__chr7	URGCP-MRPS24__chr7
URGCP__chr7	URGCP__chr7
URI1__chr19	URI1__chr19
URM1__chr9	URM1__chr9
UROC1__chr3	UROC1__chr3
UROD__chr1	UROD__chr1
UROS__chr10	UROS__chr10
USB1__chr16	USB1__chr16
USE1__chr19	USE1__chr19
USF1__chr1	USF1__chr1
USF2__chr19	USF2__chr19
USF3__chr3	USF3__chr3
USH1C__chr11	USH1C__chr11
USH1G__chr17	USH1G__chr17
USH2A__chr1	USH2A__chr1
USHBP1__chr19	USHBP1__chr19
USMG5__chr10	USMG5__chr10
USO1__chr4	USO1__chr4
USP10__chr16	USP10__chr16
USP11__chrX	USP11__chrX
USP12-AS1__chr13	USP12-AS1__chr13
USP12-AS2__chr13	USP12-AS2__chr13
USP12__chr13	USP12__chr13
USP13__chr3	USP13__chr3
USP14__chr18	USP14__chr18
USP15__chr12	USP15__chr12
USP16__chr21	USP16__chr21
USP17L10__chr4	USP17L10__chr4
USP17L11__chr4	USP17L11__chr4
USP17L12__chr4	USP17L12__chr4
USP17L13__chr4	USP17L13__chr4
USP17L15__chr4	USP17L15__chr4
USP17L17__chr4	USP17L17__chr4
USP17L18__chr4	USP17L18__chr4
USP17L19__chr4	USP17L19__chr4
USP17L1__chr8	USP17L1__chr8
USP17L20__chr4	USP17L20__chr4
USP17L21__chr4	USP17L21__chr4
USP17L22__chr4	USP17L22__chr4
USP17L23__chr4	USP17L23__chr4
USP17L24__chr4	USP17L24__chr4
USP17L25__chr4	USP17L25__chr4
USP17L26__chr4	USP17L26__chr4
USP17L27__chr4	USP17L27__chr4
USP17L28__chr4	USP17L28__chr4
USP17L29__chr4	USP17L29__chr4
USP17L2__chr8	USP17L2__chr8
USP17L30__chr4	USP17L30__chr4
USP17L3__chr8	USP17L3__chr8
USP17L4__chr8	USP17L4__chr8
USP17L5__chr4	USP17L5__chr4
USP17L7__chr8	USP17L7__chr8
USP17L8__chr8	USP17L8__chr8
USP18__chr22	USP18__chr22
USP19__chr3	USP19__chr3
USP1__chr1	USP1__chr1
USP2-AS1__chr11	USP2-AS1__chr11
USP20__chr9	USP20__chr9
USP21__chr1	USP21__chr1
USP22__chr17	USP22__chr17
USP24__chr1	USP24__chr1
USP25__chr21	USP25__chr21
USP26__chrX	USP26__chrX
USP27X-AS1__chrX	USP27X-AS1__chrX
USP27X__chrX	USP27X__chrX
USP28__chr11	USP28__chr11
USP29__chr19	USP29__chr19
USP2__chr11	USP2__chr11
USP3-AS1__chr15	USP3-AS1__chr15
USP30-AS1__chr12	USP30-AS1__chr12
USP30__chr12	USP30__chr12
USP31__chr16	USP31__chr16
USP32__chr17	USP32__chr17
USP33__chr1	USP33__chr1
USP34__chr2	USP34__chr2
USP35__chr11	USP35__chr11
USP36__chr17	USP36__chr17
USP37__chr2	USP37__chr2
USP38__chr4	USP38__chr4
USP39__chr2	USP39__chr2
USP3__chr15	USP3__chr15
USP40__chr2	USP40__chr2
USP41__chr22	USP41__chr22
USP42__chr7	USP42__chr7
USP43__chr17	USP43__chr17
USP44__chr12	USP44__chr12
USP45__chr6	USP45__chr6
USP46-AS1__chr4	USP46-AS1__chr4
USP46__chr4	USP46__chr4
USP47__chr11	USP47__chr11
USP48__chr1	USP48__chr1
USP49__chr6	USP49__chr6
USP4__chr3	USP4__chr3
USP50__chr15	USP50__chr15
USP51__chrX	USP51__chrX
USP53__chr4	USP53__chr4
USP54__chr10	USP54__chr10
USP5__chr12	USP5__chr12
USP6NL__chr10	USP6NL__chr10
USP6__chr17	USP6__chr17
USP7__chr16	USP7__chr16
USP8__chr15	USP8__chr15
USP9X__chrX	USP9X__chrX
USP9Y__chrY	USP9Y__chrY
USPL1__chr13	USPL1__chr13
UST-AS1__chr6	UST-AS1__chr6
UST__chr6	UST__chr6
UTAT33__chr2	UTAT33__chr2
UTF1__chr10	UTF1__chr10
UTP11L__chr1	UTP11L__chr1
UTP14A__chrX	UTP14A__chrX
UTP14C__chr13	UTP14C__chr13
UTP15__chr5	UTP15__chr5
UTP18__chr17	UTP18__chr17
UTP20__chr12	UTP20__chr12
UTP23__chr8	UTP23__chr8
UTP3__chr4	UTP3__chr4
UTP6__chr17	UTP6__chr17
UTRN__chr6	UTRN__chr6
UTS2B__chr3	UTS2B__chr3
UTS2R__chr17	UTS2R__chr17
UTS2__chr1	UTS2__chr1
UTY__chrY	UTY__chrY
UVRAG__chr11	UVRAG__chr11
UVSSA__chr4	UVSSA__chr4
UXS1__chr2	UXS1__chr2
UXT-AS1__chrX	UXT-AS1__chrX
UXT__chrX	UXT__chrX
VAC14-AS1__chr16	VAC14-AS1__chr16
VAC14__chr16	VAC14__chr16
VAMP1__chr12	VAMP1__chr12
VAMP2__chr17	VAMP2__chr17
VAMP3__chr1	VAMP3__chr1
VAMP4__chr1	VAMP4__chr1
VAMP5__chr2	VAMP5__chr2
VAMP7__chrX	VAMP7__chrX
VAMP7__chrY	VAMP7__chrY
VAMP8__chr2	VAMP8__chr2
VANGL1__chr1	VANGL1__chr1
VANGL2__chr1	VANGL2__chr1
VAPA__chr18	VAPA__chr18
VAPB__chr20	VAPB__chr20
VARS2__chr6	VARS2__chr6
VARS__chr6	VARS__chr6
VASH1__chr14	VASH1__chr14
VASH2__chr1	VASH2__chr1
VASN__chr16	VASN__chr16
VASP__chr19	VASP__chr19
VAT1L__chr16	VAT1L__chr16
VAT1__chr17	VAT1__chr17
VAV1__chr19	VAV1__chr19
VAV2__chr9	VAV2__chr9
VAV3-AS1__chr1	VAV3-AS1__chr1
VAV3__chr1	VAV3__chr1
VAX1__chr10	VAX1__chr10
VAX2__chr2	VAX2__chr2
VBP1__chrX	VBP1__chrX
VCAM1__chr1	VCAM1__chr1
VCAN-AS1__chr5	VCAN-AS1__chr5
VCAN__chr5	VCAN__chr5
VCL__chr10	VCL__chr10
VCPIP1__chr8	VCPIP1__chr8
VCPKMT__chr14	VCPKMT__chr14
VCP__chr9	VCP__chr9
VCX2__chrX	VCX2__chrX
VCX3A__chrX	VCX3A__chrX
VCX3B__chrX	VCX3B__chrX
VCX__chrX	VCX__chrX
VCY1B__chrY	VCY1B__chrY
VCY__chrY	VCY__chrY
VDAC1__chr5	VDAC1__chr5
VDAC2__chr10	VDAC2__chr10
VDAC3__chr8	VDAC3__chr8
VDR__chr12	VDR__chr12
VEGFA__chr6	VEGFA__chr6
VEGFB__chr11	VEGFB__chr11
VEGFC__chr4	VEGFC__chr4
VENTXP1__chrX	VENTXP1__chrX
VENTX__chr10	VENTX__chr10
VEPH1__chr3	VEPH1__chr3
VEZF1__chr17	VEZF1__chr17
VEZT__chr12	VEZT__chr12
VGF__chr7	VGF__chr7
VGLL1__chrX	VGLL1__chrX
VGLL2__chr6	VGLL2__chr6
VGLL3__chr3	VGLL3__chr3
VGLL4__chr3	VGLL4__chr3
VHLL__chr1	VHLL__chr1
VHL__chr3	VHL__chr3
VIL1__chr2	VIL1__chr2
VILL__chr3	VILL__chr3
VIM-AS1__chr10	VIM-AS1__chr10
VIMP__chr15	VIMP__chr15
VIM__chr10	VIM__chr10
VIPAS39__chr14	VIPAS39__chr14
VIPR1-AS1__chr3	VIPR1-AS1__chr3
VIPR1__chr3	VIPR1__chr3
VIPR2__chr7	VIPR2__chr7
VIP__chr6	VIP__chr6
VIS1__chr2	VIS1__chr2
VIT__chr2	VIT__chr2
VKORC1L1__chr7	VKORC1L1__chr7
VKORC1__chr16	VKORC1__chr16
VLDLR-AS1__chr9	VLDLR-AS1__chr9
VLDLR__chr9	VLDLR__chr9
VMA21__chrX	VMA21__chrX
VMAC__chr19	VMAC__chr19
VMO1__chr17	VMO1__chr17
VMP1__chr17	VMP1__chr17
VN1R1__chr19	VN1R1__chr19
VN1R2__chr19	VN1R2__chr19
VN1R4__chr19	VN1R4__chr19
VNN1__chr6	VNN1__chr6
VNN2__chr6	VNN2__chr6
VNN3__chr6	VNN3__chr6
VOPP1__chr7	VOPP1__chr7
VPRBP__chr3	VPRBP__chr3
VPREB1__chr22	VPREB1__chr22
VPREB3__chr22	VPREB3__chr22
VPS11__chr11	VPS11__chr11
VPS13A-AS1__chr9	VPS13A-AS1__chr9
VPS13A__chr9	VPS13A__chr9
VPS13B__chr8	VPS13B__chr8
VPS13C__chr15	VPS13C__chr15
VPS13D__chr1	VPS13D__chr1
VPS16__chr20	VPS16__chr20
VPS18__chr15	VPS18__chr15
VPS25__chr17	VPS25__chr17
VPS26A__chr10	VPS26A__chr10
VPS26B__chr11	VPS26B__chr11
VPS28__chr8	VPS28__chr8
VPS29__chr12	VPS29__chr12
VPS33A__chr12	VPS33A__chr12
VPS33B__chr15	VPS33B__chr15
VPS35__chr16	VPS35__chr16
VPS36__chr13	VPS36__chr13
VPS37A__chr8	VPS37A__chr8
VPS37B__chr12	VPS37B__chr12
VPS37C__chr11	VPS37C__chr11
VPS37D__chr7	VPS37D__chr7
VPS39__chr15	VPS39__chr15
VPS41__chr7	VPS41__chr7
VPS45__chr1	VPS45__chr1
VPS4A__chr16	VPS4A__chr16
VPS4B__chr18	VPS4B__chr18
VPS50__chr7	VPS50__chr7
VPS51__chr11	VPS51__chr11
VPS52__chr6	VPS52__chr6
VPS53__chr17	VPS53__chr17
VPS54__chr2	VPS54__chr2
VPS72__chr1	VPS72__chr1
VPS8__chr3	VPS8__chr3
VPS9D1-AS1__chr16	VPS9D1-AS1__chr16
VPS9D1__chr16	VPS9D1__chr16
VRK1__chr14	VRK1__chr14
VRK2__chr2	VRK2__chr2
VRK3__chr19	VRK3__chr19
VRTN__chr14	VRTN__chr14
VSIG10L__chr19	VSIG10L__chr19
VSIG10__chr12	VSIG10__chr12
VSIG1__chrX	VSIG1__chrX
VSIG2__chr11	VSIG2__chr11
VSIG4__chrX	VSIG4__chrX
VSIG8__chr1	VSIG8__chr1
VSNL1__chr2	VSNL1__chr2
VSTM1__chr19	VSTM1__chr19
VSTM2A-OT1__chr7	VSTM2A-OT1__chr7
VSTM2A__chr7	VSTM2A__chr7
VSTM2B__chr19	VSTM2B__chr19
VSTM2L__chr20	VSTM2L__chr20
VSTM4__chr10	VSTM4__chr10
VSTM5__chr11	VSTM5__chr11
VSX1__chr20	VSX1__chr20
VSX2__chr14	VSX2__chr14
VTA1__chr6	VTA1__chr6
VTCN1__chr1	VTCN1__chr1
VTI1A__chr10	VTI1A__chr10
VTI1B__chr14	VTI1B__chr14
VTN__chr17	VTN__chr17
VTRNA1-1__chr5	VTRNA1-1__chr5
VTRNA1-2__chr5	VTRNA1-2__chr5
VTRNA1-3__chr5	VTRNA1-3__chr5
VTRNA2-1__chr5	VTRNA2-1__chr5
VTRNA2-2P__chr2	VTRNA2-2P__chr2
VTRNA3-1P__chrX	VTRNA3-1P__chrX
VWA1__chr1	VWA1__chr1
VWA2__chr10	VWA2__chr10
VWA3A__chr16	VWA3A__chr16
VWA3B__chr2	VWA3B__chr2
VWA5A__chr11	VWA5A__chr11
VWA5B1__chr1	VWA5B1__chr1
VWA5B2__chr3	VWA5B2__chr3
VWA7__chr6	VWA7__chr6
VWA8-AS1__chr13	VWA8-AS1__chr13
VWA8__chr13	VWA8__chr13
VWA9__chr15	VWA9__chr15
VWC2L-IT1__chr2	VWC2L-IT1__chr2
VWC2L__chr2	VWC2L__chr2
VWC2__chr7	VWC2__chr7
VWCE__chr11	VWCE__chr11
VWDE__chr7	VWDE__chr7
VWF__chr12	VWF__chr12
Vault__chr17	Vault__chr17
Vault__chr2	Vault__chr2
Vault__chr5	Vault__chr5
Vax2os1_3__chr2	Vax2os1_3__chr2
WAC-AS1__chr10	WAC-AS1__chr10
WAC__chr10	WAC__chr10
WAPL__chr10	WAPL__chr10
WARS2-IT1__chr1	WARS2-IT1__chr1
WARS2__chr1	WARS2__chr1
WARS__chr14	WARS__chr14
WASF1__chr6	WASF1__chr6
WASF2__chr1	WASF2__chr1
WASF3-AS1__chr13	WASF3-AS1__chr13
WASF3__chr13	WASF3__chr13
WASH1__chr9	WASH1__chr9
WASIR1__chrX	WASIR1__chrX
WASIR1__chrY	WASIR1__chrY
WASIR2__chr16	WASIR2__chr16
WASL__chr7	WASL__chr7
WAS__chrX	WAS__chrX
WBP11__chr12	WBP11__chr12
WBP1L__chr10	WBP1L__chr10
WBP1__chr2	WBP1__chr2
WBP2NL__chr22	WBP2NL__chr22
WBP2__chr17	WBP2__chr17
WBP4__chr13	WBP4__chr13
WBP5__chrX	WBP5__chrX
WBSCR16__chr7	WBSCR16__chr7
WBSCR17__chr7	WBSCR17__chr7
WBSCR22__chr7	WBSCR22__chr7
WBSCR27__chr7	WBSCR27__chr7
WBSCR28__chr7	WBSCR28__chr7
WDFY1__chr2	WDFY1__chr2
WDFY2__chr13	WDFY2__chr13
WDFY3-AS1__chr4	WDFY3-AS1__chr4
WDFY3-AS2__chr4	WDFY3-AS2__chr4
WDFY3__chr4	WDFY3__chr4
WDFY4__chr10	WDFY4__chr10
WDHD1__chr14	WDHD1__chr14
WDPCP__chr2	WDPCP__chr2
WDR11-AS1__chr10	WDR11-AS1__chr10
WDR11__chr10	WDR11__chr10
WDR12__chr2	WDR12__chr2
WDR13__chrX	WDR13__chrX
WDR17__chr4	WDR17__chr4
WDR18__chr19	WDR18__chr19
WDR19__chr4	WDR19__chr4
WDR1__chr4	WDR1__chr4
WDR20__chr14	WDR20__chr14
WDR24__chr16	WDR24__chr16
WDR25__chr14	WDR25__chr14
WDR26__chr1	WDR26__chr1
WDR27__chr6	WDR27__chr6
WDR31__chr9	WDR31__chr9
WDR33__chr2	WDR33__chr2
WDR34__chr9	WDR34__chr9
WDR35__chr2	WDR35__chr2
WDR36__chr5	WDR36__chr5
WDR37__chr10	WDR37__chr10
WDR38__chr9	WDR38__chr9
WDR3__chr1	WDR3__chr1
WDR41__chr5	WDR41__chr5
WDR43__chr2	WDR43__chr2
WDR44__chrX	WDR44__chrX
WDR45B__chr17	WDR45B__chr17
WDR45__chrX	WDR45__chrX
WDR46__chr6	WDR46__chr6
WDR47__chr1	WDR47__chr1
WDR48__chr3	WDR48__chr3
WDR49__chr3	WDR49__chr3
WDR4__chr21	WDR4__chr21
WDR53__chr3	WDR53__chr3
WDR54__chr2	WDR54__chr2
WDR55__chr5	WDR55__chr5
WDR59__chr16	WDR59__chr16
WDR5B__chr3	WDR5B__chr3
WDR5__chr9	WDR5__chr9
WDR60__chr7	WDR60__chr7
WDR61__chr15	WDR61__chr15
WDR62__chr19	WDR62__chr19
WDR63__chr1	WDR63__chr1
WDR64__chr1	WDR64__chr1
WDR66__chr12	WDR66__chr12
WDR6__chr3	WDR6__chr3
WDR7-OT1__chr18	WDR7-OT1__chr18
WDR70__chr5	WDR70__chr5
WDR72__chr15	WDR72__chr15
WDR73__chr15	WDR73__chr15
WDR74__chr11	WDR74__chr11
WDR75__chr2	WDR75__chr2
WDR76__chr15	WDR76__chr15
WDR77__chr1	WDR77__chr1
WDR78__chr1	WDR78__chr1
WDR7__chr18	WDR7__chr18
WDR81__chr17	WDR81__chr17
WDR82__chr3	WDR82__chr3
WDR83OS__chr19	WDR83OS__chr19
WDR83__chr19	WDR83__chr19
WDR86-AS1__chr7	WDR86-AS1__chr7
WDR86__chr7	WDR86__chr7
WDR87__chr19	WDR87__chr19
WDR88__chr19	WDR88__chr19
WDR89__chr14	WDR89__chr14
WDR90__chr16	WDR90__chr16
WDR91__chr7	WDR91__chr7
WDR92__chr2	WDR92__chr2
WDR93__chr15	WDR93__chr15
WDR97__chr8	WDR97__chr8
WDSUB1__chr2	WDSUB1__chr2
WDTC1__chr1	WDTC1__chr1
WDYHV1__chr8	WDYHV1__chr8
WEE1__chr11	WEE1__chr11
WEE2-AS1__chr7	WEE2-AS1__chr7
WEE2__chr7	WEE2__chr7
WFDC10A__chr20	WFDC10A__chr20
WFDC10B__chr20	WFDC10B__chr20
WFDC11__chr20	WFDC11__chr20
WFDC12__chr20	WFDC12__chr20
WFDC13__chr20	WFDC13__chr20
WFDC1__chr16	WFDC1__chr16
WFDC21P__chr17	WFDC21P__chr17
WFDC2__chr20	WFDC2__chr20
WFDC3__chr20	WFDC3__chr20
WFDC5__chr20	WFDC5__chr20
WFDC6__chr20	WFDC6__chr20
WFDC8__chr20	WFDC8__chr20
WFDC9__chr20	WFDC9__chr20
WFIKKN1__chr16	WFIKKN1__chr16
WFIKKN2__chr17	WFIKKN2__chr17
WFS1__chr4	WFS1__chr4
WHAMM__chr15	WHAMM__chr15
WHSC1L1__chr8	WHSC1L1__chr8
WHSC1__chr4	WHSC1__chr4
WI2-1959D15.1__chr9	WI2-1959D15.1__chr9
WI2-2373I1.2__chr7	WI2-2373I1.2__chr7
WI2-80269A6.1__chrX	WI2-80269A6.1__chrX
WI2-8325B5.1__chr20	WI2-8325B5.1__chr20
WI2-85898F10.1__chr22	WI2-85898F10.1__chr22
WI2-85898F10.2__chr22	WI2-85898F10.2__chr22
WI2-87327B8.1__chr20	WI2-87327B8.1__chr20
WI2-87327B8.2__chr20	WI2-87327B8.2__chr20
WI2-89031B12.1__chrX	WI2-89031B12.1__chrX
WIF1__chr12	WIF1__chr12
WIPF1__chr2	WIPF1__chr2
WIPF2__chr17	WIPF2__chr17
WIPF3__chr7	WIPF3__chr7
WIPI1__chr17	WIPI1__chr17
WIPI2__chr7	WIPI2__chr7
WISP1-OT1__chr8	WISP1-OT1__chr8
WISP1__chr8	WISP1__chr8
WISP2__chr20	WISP2__chr20
WISP3__chr6	WISP3__chr6
WIZ__chr19	WIZ__chr19
WLS__chr1	WLS__chr1
WNK1__chr12	WNK1__chr12
WNK2__chr9	WNK2__chr9
WNK3__chrX	WNK3__chrX
WNK4__chr17	WNK4__chr17
WNT10A__chr2	WNT10A__chr2
WNT10B__chr12	WNT10B__chr12
WNT11__chr11	WNT11__chr11
WNT16__chr7	WNT16__chr7
WNT1__chr12	WNT1__chr12
WNT2B__chr1	WNT2B__chr1
WNT2__chr7	WNT2__chr7
WNT3A__chr1	WNT3A__chr1
WNT3__chr17	WNT3__chr17
WNT4__chr1	WNT4__chr1
WNT5A-AS1__chr3	WNT5A-AS1__chr3
WNT5A__chr3	WNT5A__chr3
WNT5B__chr12	WNT5B__chr12
WNT6__chr2	WNT6__chr2
WNT7A__chr3	WNT7A__chr3
WNT7B__chr22	WNT7B__chr22
WNT8A__chr5	WNT8A__chr5
WNT8B__chr10	WNT8B__chr10
WNT9A__chr1	WNT9A__chr1
WNT9B__chr17	WNT9B__chr17
WRAP53__chr17	WRAP53__chr17
WRAP73__chr1	WRAP73__chr1
WRB__chr21	WRB__chr21
WRNIP1__chr6	WRNIP1__chr6
WRN__chr8	WRN__chr8
WSB1__chr17	WSB1__chr17
WSB2__chr12	WSB2__chr12
WSCD1__chr17	WSCD1__chr17
WSCD2__chr12	WSCD2__chr12
WSPAR__chr5	WSPAR__chr5
WT1-AS_1__chr11	WT1-AS_1__chr11
WT1-AS_2__chr11	WT1-AS_2__chr11
WT1-AS_3__chr11	WT1-AS_3__chr11
WT1-AS_6__chr11	WT1-AS_6__chr11
WT1-AS_7__chr11	WT1-AS_7__chr11
WT1-AS_8__chr11	WT1-AS_8__chr11
WT1-AS__chr11	WT1-AS__chr11
WT1__chr11	WT1__chr11
WTAP__chr6	WTAP__chr6
WTIP__chr19	WTIP__chr19
WWC1__chr5	WWC1__chr5
WWC2-AS1__chr4	WWC2-AS1__chr4
WWC2-AS2__chr4	WWC2-AS2__chr4
WWC2__chr4	WWC2__chr4
WWC3-AS1__chrX	WWC3-AS1__chrX
WWC3__chrX	WWC3__chrX
WWOX__chr16	WWOX__chr16
WWP1__chr8	WWP1__chr8
WWP2__chr16	WWP2__chr16
WWTR1-AS1__chr3	WWTR1-AS1__chr3
WWTR1-IT1__chr3	WWTR1-IT1__chr3
WWTR1__chr3	WWTR1__chr3
XAB2__chr19	XAB2__chr19
XACT__chrX	XACT__chrX
XAF1__chr17	XAF1__chr17
XAGE1A__chrX	XAGE1A__chrX
XAGE1B__chrX	XAGE1B__chrX
XAGE2__chrX	XAGE2__chrX
XAGE3__chrX	XAGE3__chrX
XAGE5__chrX	XAGE5__chrX
XBP1__chr22	XBP1__chr22
XCL1__chr1	XCL1__chr1
XCL2__chr1	XCL2__chr1
XCR1__chr3	XCR1__chr3
XDH__chr2	XDH__chr2
XG__chrX	XG__chrX
XIAP-AS1__chrX	XIAP-AS1__chrX
XIAP__chrX	XIAP__chrX
XIRP1__chr3	XIRP1__chr3
XIRP2-AS1__chr2	XIRP2-AS1__chr2
XIRP2__chr2	XIRP2__chr2
XIST__chrX	XIST__chrX
XIST_intron__chrX	XIST_intron__chrX
XKR3__chr22	XKR3__chr22
XKR4__chr8	XKR4__chr8
XKR5__chr8	XKR5__chr8
XKR6__chr8	XKR6__chr8
XKR7__chr20	XKR7__chr20
XKR8__chr1	XKR8__chr1
XKR9__chr8	XKR9__chr8
XKRX__chrX	XKRX__chrX
XK__chrX	XK__chrX
XPA__chr9	XPA__chr9
XPC__chr3	XPC__chr3
XPNPEP1__chr10	XPNPEP1__chr10
XPNPEP2__chrX	XPNPEP2__chrX
XPNPEP3__chr22	XPNPEP3__chr22
XPO1__chr2	XPO1__chr2
XPO4__chr13	XPO4__chr13
XPO5__chr6	XPO5__chr6
XPO6__chr16	XPO6__chr16
XPO7__chr8	XPO7__chr8
XPOT__chr12	XPOT__chr12
XPR1__chr1	XPR1__chr1
XRCC1__chr19	XRCC1__chr19
XRCC2__chr7	XRCC2__chr7
XRCC3__chr14	XRCC3__chr14
XRCC4__chr5	XRCC4__chr5
XRCC5__chr2	XRCC5__chr2
XRCC6BP1__chr12	XRCC6BP1__chr12
XRCC6__chr22	XRCC6__chr22
XRN1__chr3	XRN1__chr3
XRN2__chr20	XRN2__chr20
XRRA1__chr11	XRRA1__chr11
XX-C00717C00720L.1__chr22	XX-C00717C00720L.1__chr22
XX-C2158C12.1__chr6	XX-C2158C12.1__chr6
XX-C2158C12.2__chr6	XX-C2158C12.2__chr6
XX-C2158C6.1__chr6	XX-C2158C6.1__chr6
XX-C2158C6.3__chr6	XX-C2158C6.3__chr6
XX-C283C717.1__chr22	XX-C283C717.1__chr22
XX-CR54.1__chr1	XX-CR54.1__chr1
XX-DJ76P10__A.2__chr16	XX-DJ76P10__A.2__chr16
XX-FW80269A6.1__chrX	XX-FW80269A6.1__chrX
XX-FW81066F1.2__chrX	XX-FW81066F1.2__chrX
XX-FW83128A1.2__chrX	XX-FW83128A1.2__chrX
